seed,condition,step,analysis_label,non_renormalized_label,accuracy_A,accuracy_B,routing_specialization,router_entropy,causal_specialization_renormalized,causal_specialization_non_renormalized
2,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9805999994277954,0.9473199844360352,0.26924699544906616,0.649010956287384,0.12843000888824463,0.11048001050949097
2,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9870799779891968,0.9871000051498413,0.2699509859085083,0.6480333507061005,0.15749001502990723,0.1429300308227539
2,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9636600017547607,0.9487000107765198,0.24802717566490173,0.6561459302902222,0.15622001886367798,0.12860000133514404
3,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9826800227165222,0.9760800004005432,0.7657405138015747,0.35726360976696014,0.4840399920940399,0.3632799983024597
3,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9896399974822998,0.9881799817085266,0.7803077101707458,0.34291768074035645,0.49480003118515015,0.3668300211429596
3,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.4996599853038788,0.9723399877548218,0.01509501039981842,0.6610552668571472,0.12481999397277832,0.13050004839897156
3,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9818400144577026,0.9768199920654297,0.7769434452056885,0.34039703011512756,0.4566900134086609,0.37450000643730164
3,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.987559974193573,0.9888399839401245,0.7801730632781982,0.3354993760585785,0.46931999921798706,0.3840700089931488
3,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9716399908065796,0.5066800117492676,0.022408396005630493,0.6757153570652008,0.07552996277809143,0.08368000388145447
3,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9818199872970581,0.9726399779319763,0.6495435833930969,0.44649912416934967,0.3791600465774536,0.36629000306129456
3,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9877200126647949,0.9887199997901917,0.6556274890899658,0.44340795278549194,0.3768700063228607,0.36452001333236694
3,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9662600159645081,0.9630799889564514,0.5756929516792297,0.4993191659450531,0.30169999599456787,0.29614999890327454
4,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9775599837303162,0.9780600070953369,0.6444283723831177,0.44883090257644653,0.35023999214172363,0.3513300120830536
4,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9885600209236145,0.9864199757575989,0.6494489908218384,0.44729258120059967,0.3677399754524231,0.36847999691963196
4,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.5030999779701233,0.9717000126838684,0.07082892954349518,0.6657487154006958,0.18415004014968872,0.18480005860328674
4,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.971780002117157,0.9765599966049194,0.5234458446502686,0.47292524576187134,0.27110999822616577,0.26365000009536743
4,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9870399832725525,0.987280011177063,0.5182526707649231,0.47154633700847626,0.289650022983551,0.2800000011920929
4,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9740399718284607,0.5010600090026855,0.014269277453422546,0.6854090988636017,0.020879969000816345,0.03456994891166687
4,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9758999943733215,0.9789599776268005,0.5700500011444092,0.49331116676330566,0.28247004747390747,0.2686599791049957
4,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9887199997901917,0.9879199862480164,0.5630453824996948,0.4981500655412674,0.2889699935913086,0.2786400020122528
4,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9617599844932556,0.9621999859809875,0.5078387260437012,0.539934903383255,0.23823001980781555,0.23070001602172852
5,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9789599776268005,0.9822999835014343,0.660494327545166,0.44063660502433777,0.4189299941062927,0.37108999490737915
5,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9890599846839905,0.9890000224113464,0.6683664321899414,0.43450991809368134,0.4335099756717682,0.38214999437332153
5,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.49946001172065735,0.9673399925231934,0.05353914201259613,0.6643191277980804,0.10595999658107758,0.11184996366500854
5,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9797000288963318,0.9823799729347229,0.808029294013977,0.30859375,0.47940999269485474,0.38098999857902527
5,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9886199831962585,0.9892399907112122,0.8185526132583618,0.29742181301116943,0.48924002051353455,0.3864700198173523
5,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9752399921417236,0.5030999779701233,0.05289013683795929,0.6620397865772247,0.050119996070861816,0.058300018310546875
5,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9756399989128113,0.9818800091743469,0.6357777118682861,0.4384807348251343,0.2886900305747986,0.2874999940395355
5,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9870799779891968,0.9875800013542175,0.6401376724243164,0.43589992821216583,0.29951000213623047,0.2987000048160553
5,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9635000228881836,0.9609000086784363,0.57438725233078,0.49014903604984283,0.2235100120306015,0.2273099720478058
6,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9804400205612183,0.9771999716758728,0.8343114852905273,0.27830296754837036,0.4799499809741974,0.33886998891830444
6,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9887199997901917,0.988099992275238,0.8399090766906738,0.2714247852563858,0.48781999945640564,0.3429200053215027
6,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.5037800073623657,0.9704999923706055,0.0645308792591095,0.652200847864151,0.06150001287460327,0.07290995121002197
6,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9761800169944763,0.9752799868583679,0.745983362197876,0.37021252512931824,0.45659998059272766,0.4107699990272522
